DayOfWeek,Department,TimeOfDay,PatientInflow
Friday,Pediatrics,Afternoon,13
Saturday,Oncology,Evening,27
Monday,Neurology,Afternoon,20
Thursday,Cardiology,Night,5
Thursday,Pediatrics,Night,21
Thursday,Oncology,Night,16
Tuesday,Neurology,Evening,19
Thursday,Emergency,Afternoon,19
Saturday,Cardiology,Night,12
Wednesday,Emergency,Morning,15
Friday,Cardiology,Morning,21
Sunday,Pediatrics,Afternoon,11
Monday,Oncology,Evening,19
Monday,Cardiology,Evening,18
Friday,Pediatrics,Night,21
Wednesday,Neurology,Night,23
Tuesday,Pediatrics,Night,5
Sunday,Emergency,Evening,5
Sunday,Cardiology,Night,7
Monday,Oncology,Night,21
Tuesday,Emergency,Night,23
Saturday,Neurology,Night,10
Tuesday,Pediatrics,Evening,20
Saturday,Cardiology,Morning,21
Monday,Neurology,Afternoon,10
Tuesday,Oncology,Afternoon,11
Friday,Emergency,Afternoon,24
Thursday,Cardiology,Morning,16
Monday,Neurology,Evening,6
Thursday,Oncology,Night,24
Saturday,Pediatrics,Afternoon,6
Sunday,Oncology,Morning,17
Monday,Emergency,Night,25
Wednesday,Neurology,Evening,11
Thursday,Oncology,Night,17
Monday,Cardiology,Morning,10
Tuesday,Emergency,Night,11
Thursday,Cardiology,Afternoon,24
Saturday,Oncology,Afternoon,23
Thursday,Oncology,Evening,29
Thursday,Emergency,Evening,8
Sunday,Emergency,Morning,9
Monday,Pediatrics,Afternoon,13
Tuesday,Oncology,Night,18
Tuesday,Oncology,Afternoon,19
Tuesday,Cardiology,Evening,9
Monday,Pediatrics,Afternoon,24
Wednesday,Cardiology,Evening,6
Friday,Oncology,Afternoon,10
Thursday,Cardiology,Night,12
Sunday,Neurology,Evening,27
Thursday,Emergency,Evening,11
Wednesday,Cardiology,Morning,21
Friday,Cardiology,Night,27
Wednesday,Oncology,Afternoon,23
Monday,Pediatrics,Morning,15
Monday,Cardiology,Afternoon,22
Friday,Neurology,Night,8
Saturday,Oncology,Afternoon,26
Saturday,Pediatrics,Morning,7
Sunday,Cardiology,Afternoon,10
Monday,Emergency,Evening,9
Friday,Emergency,Morning,14
Tuesday,Emergency,Afternoon,9
Friday,Oncology,Afternoon,17
Tuesday,Emergency,Night,24
Wednesday,Pediatrics,Morning,14
Wednesday,Oncology,Afternoon,18
Monday,Neurology,Morning,25
Tuesday,Neurology,Evening,27
Tuesday,Emergency,Afternoon,11
Tuesday,Oncology,Morning,9
Tuesday,Emergency,Morning,19
Thursday,Emergency,Night,20
Sunday,Neurology,Afternoon,14
Thursday,Neurology,Evening,12
Sunday,Oncology,Afternoon,5
Wednesday,Emergency,Evening,9
Thursday,Oncology,Night,7
Monday,Pediatrics,Evening,8
Sunday,Pediatrics,Morning,22
Thursday,Cardiology,Evening,15
Saturday,Neurology,Night,13
Friday,Oncology,Night,23
Tuesday,Emergency,Night,10
Wednesday,Cardiology,Night,19
Friday,Pediatrics,Morning,16
Thursday,Emergency,Evening,26
Friday,Cardiology,Morning,10
Sunday,Cardiology,Morning,6
Friday,Pediatrics,Night,21
Friday,Emergency,Evening,28
Thursday,Emergency,Evening,19
Friday,Cardiology,Evening,23
Friday,Neurology,Evening,8
Friday,Neurology,Night,17
Monday,Neurology,Night,9
Sunday,Cardiology,Morning,10
Friday,Neurology,Morning,12
Thursday,Pediatrics,Morning,6
Wednesday,Cardiology,Night,6
Saturday,Neurology,Morning,5
Saturday,Oncology,Afternoon,11
Saturday,Emergency,Afternoon,15
Monday,Cardiology,Evening,13
Tuesday,Emergency,Afternoon,28
Saturday,Emergency,Evening,10
Tuesday,Neurology,Afternoon,6
Thursday,Oncology,Morning,25
Monday,Neurology,Night,8
Saturday,Oncology,Night,11
Sunday,Oncology,Morning,12
Monday,Emergency,Afternoon,27
Tuesday,Emergency,Afternoon,18
Wednesday,Oncology,Night,26
Friday,Oncology,Night,13
Wednesday,Oncology,Night,13
Monday,Emergency,Morning,11
Saturday,Pediatrics,Night,14
Thursday,Pediatrics,Night,14
Wednesday,Cardiology,Afternoon,26
Wednesday,Pediatrics,Afternoon,14
Saturday,Neurology,Night,8
Monday,Emergency,Morning,21
Saturday,Pediatrics,Evening,10
Tuesday,Oncology,Afternoon,8
Monday,Oncology,Night,13
Wednesday,Neurology,Evening,8
Wednesday,Cardiology,Afternoon,22
Thursday,Oncology,Morning,26
Wednesday,Pediatrics,Night,11
Thursday,Oncology,Morning,13
Wednesday,Cardiology,Afternoon,26
Tuesday,Neurology,Night,9
Wednesday,Cardiology,Afternoon,18
Sunday,Cardiology,Morning,29
Thursday,Emergency,Afternoon,29
Sunday,Oncology,Afternoon,19
Thursday,Oncology,Evening,23
Thursday,Pediatrics,Night,10
Wednesday,Cardiology,Night,24
Sunday,Neurology,Afternoon,16
Thursday,Oncology,Afternoon,20
Friday,Oncology,Morning,13
Tuesday,Neurology,Night,20
Wednesday,Emergency,Night,26
Thursday,Pediatrics,Evening,9
Sunday,Oncology,Night,13
Tuesday,Oncology,Morning,6
Wednesday,Pediatrics,Evening,11
Tuesday,Pediatrics,Night,22
Friday,Oncology,Night,8
Wednesday,Pediatrics,Night,20
Sunday,Pediatrics,Morning,9
Thursday,Neurology,Morning,12
Monday,Pediatrics,Evening,23
Thursday,Neurology,Night,26
Wednesday,Cardiology,Afternoon,8
Thursday,Pediatrics,Evening,20
Monday,Neurology,Morning,23
Monday,Cardiology,Afternoon,28
Sunday,Pediatrics,Evening,9
Monday,Pediatrics,Afternoon,20
Sunday,Emergency,Night,5
Thursday,Oncology,Morning,28
Sunday,Emergency,Morning,18
Wednesday,Pediatrics,Evening,15
Thursday,Emergency,Morning,21
Monday,Emergency,Evening,9
Friday,Pediatrics,Morning,19
Monday,Oncology,Morning,9
Saturday,Cardiology,Night,11
Sunday,Pediatrics,Evening,22
Monday,Pediatrics,Morning,26
Saturday,Neurology,Evening,21
Wednesday,Cardiology,Afternoon,8
Thursday,Pediatrics,Night,8
Sunday,Oncology,Afternoon,5
Wednesday,Cardiology,Morning,22
Thursday,Neurology,Morning,26
Saturday,Cardiology,Afternoon,18
Monday,Neurology,Afternoon,11
Monday,Pediatrics,Evening,14
Monday,Pediatrics,Evening,25
Thursday,Cardiology,Morning,5
Monday,Oncology,Afternoon,10
Wednesday,Emergency,Night,23
Wednesday,Cardiology,Night,22
Monday,Emergency,Afternoon,8
Friday,Pediatrics,Evening,23
Thursday,Oncology,Morning,16
Friday,Cardiology,Afternoon,29
Saturday,Emergency,Night,24
Sunday,Cardiology,Afternoon,7
